date,station,depth,op,mean_sst,mean_airt,SSM,SST,year,doy,Station,Depth (cm),bulk,Sand,Silt,Clay,Classification,index,VH,VV,angle,lc,BASE_TEMP,cum_GDD_air,cum_GDD_soil,cum_GDD,BBCH,cum_SSM
2015-04-25,MB1,0 to 5 cm,0,10.184999999999999,7.835000000000001,0.13,14.97777777777778,2015,115,MB1,5,1.28,0.7879999999999999,0.10099999999999999,0.111,Sandy Loam,0,-20.0,-13.0,40.0,146,5,2.835000000000001,5.184999999999999,4.01,0.0,0.13
2015-04-25,MB10,0 to 5 cm,0,7.5,7.839999999999999,0.43222222222222223,12.633333333333333,2015,115,MB10,5,1.05,0.0455,0.24,0.716,Heavy Clay,0,-27.0,-20.0,43.0,146,5,5.675,7.684999999999999,6.68,0.0,0.5622222222222222
2015-04-25,MB11,0 to 5 cm,0,8.635,8.379999999999999,0.27222222222222225,12.577777777777778,2015,115,MB11,5,1.3,0.23800000000000002,0.395,0.368,Clay Loam,0,-22.0,-14.0,42.0,158,10,5.675,7.684999999999999,6.68,0.0,0.8344444444444445
2015-04-25,MB12,0 to 5 cm,0,5.35,8.014999999999999,0.31,14.266666666666666,2015,115,MB12,5,1.33,0.42100000000000004,0.41700000000000004,0.162,Loam,0,-22.0,-12.0,42.0,146,5,8.689999999999998,8.034999999999998,8.362499999999997,0.0,1.1444444444444444
2015-04-25,MB2,0 to 5 cm,0,13.265,8.305,0.34,15.955555555555556,2015,115,MB2,5,1.35,0.449,0.20800000000000002,0.34299999999999997,Clay Loam,0,-19.0,-9.0,40.0,146,5,11.994999999999997,16.299999999999997,14.147499999999997,0.0,1.4844444444444445
2015-04-25,MB3,0 to 5 cm,0,8.715,9.004999999999999,0.27,12.766666666666667,2015,115,MB3,5,1.47,0.47100000000000003,0.21100000000000002,0.318,Sandy Clay Loam,0,-22.0,-13.0,40.0,158,10,11.994999999999997,16.299999999999997,14.147499999999997,0.0,1.7544444444444445
2015-04-25,MB4,0 to 5 cm,0,11.6665,7.984999999999999,0.0891111111111111,16.41111111111111,2015,115,MB4,5,1.33,0.904,0.002,0.094,Sand,0,-22.0,-17.0,40.0,147,10,11.994999999999997,17.966499999999996,14.980749999999997,0.0,1.8435555555555556
2015-04-25,MB5,0 to 5 cm,0,9.2,7.885000000000001,0.1711111111111111,13.81111111111111,2015,115,MB5,5,1.46,0.414,0.18100000000000002,0.405,Clay,0,-21.0,-11.0,40.0,136,5,14.879999999999999,22.1665,18.523249999999997,0.0,2.014666666666667
2015-04-25,MB6,0 to 5 cm,0,8.85,8.545,0.21,13.622222222222222,2015,115,MB6,5,1.21,0.037000000000000005,0.24600000000000002,0.7170000000000001,Heavy Clay,0,-19.0,-14.0,40.0,153,5,18.424999999999997,26.016499999999997,22.220749999999995,0.0,2.224666666666667
2015-04-25,MB7,0 to 5 cm,0,10.200000000000001,8.43,0.1711111111111111,14.922222222222224,2015,115,MB7,5,1.4,0.7829999999999999,0.092,0.125,Sandy Loam,0,-20.0,-11.0,40.0,158,10,18.424999999999997,26.216499999999996,22.320749999999997,0.0,2.395777777777778
2015-04-25,MB8,0 to 5 cm,0,8.65,7.989999999999999,0.3288888888888889,14.100000000000001,2015,115,MB8,5,1.22,0.036000000000000004,0.332,0.632,Heavy Clay,0,-20.0,-15.0,40.0,158,10,18.424999999999997,26.216499999999996,22.320749999999997,0.0,2.724666666666667
2015-04-25,MB9,0 to 5 cm,0,10.15,7.674999999999999,0.14444444444444446,15.177777777777777,2015,115,MB9,5,1.53,0.813,0.06,0.127,Sandy Loam,0,-22.0,-12.0,40.0,147,10,18.424999999999997,26.3665,22.39575,0.0,2.869111111111111
2015-05-07,MB1,0 to 5 cm,0,8.415000000000001,8.735,0.18,6.677777777777778,2015,127,MB1,5,1.28,0.7879999999999999,0.10099999999999999,0.111,Sandy Loam,1,-18.0,-12.0,40.0,146,5,22.159999999999997,29.7815,25.97075,0.0,3.0491111111111113
2015-05-07,MB10,0 to 5 cm,0,9.065,8.889999999999999,0.4577777777777778,7.454444444444444,2015,127,MB10,5,1.05,0.0455,0.24,0.716,Heavy Clay,1,-24.0,-12.0,43.0,146,5,26.049999999999997,33.8465,29.948249999999998,0.0,3.5068888888888887
2015-05-07,MB11,0 to 5 cm,0,7.414999999999999,8.185,0.3377777777777778,5.907777777777778,2015,127,MB11,5,1.3,0.23800000000000002,0.395,0.368,Clay Loam,1,-18.0,-9.0,42.0,158,10,26.049999999999997,33.8465,29.948249999999998,0.0,3.844666666666667
2015-05-07,MB12,0 to 5 cm,0,9.55,7.85,0.33,9.248333333333333,2015,127,MB12,5,1.33,0.42100000000000004,0.41700000000000004,0.162,Loam,1,-17.0,-10.0,42.0,146,5,28.9,38.3965,33.648250000000004,0.0,4.174666666666667
2015-05-07,MB2,0 to 5 cm,0,13.549999999999999,9.3,0.35,12.588888888888889,2015,127,MB2,5,1.35,0.449,0.20800000000000002,0.34299999999999997,Clay Loam,1,-19.0,-9.0,40.0,146,5,33.199999999999996,46.9465,40.07325,0.0,4.524666666666667
2015-05-07,MB3,0 to 5 cm,0,8.715,9.16,0.3,7.474444444444444,2015,127,MB3,5,1.47,0.47100000000000003,0.21100000000000002,0.318,Sandy Clay Loam,1,-20.0,-9.0,40.0,158,10,33.199999999999996,46.9465,40.07325,0.0,4.824666666666666
2015-05-07,MB4,0 to 5 cm,0,9.235,8.870000000000001,0.15111111111111108,7.9944444444444445,2015,127,MB4,5,1.33,0.904,0.002,0.094,Sand,1,-20.0,-15.0,40.0,147,10,33.199999999999996,46.9465,40.07325,0.0,4.975777777777778
2015-05-07,MB5,0 to 5 cm,0,8.55,8.92,0.23000000000000004,7.045555555555556,2015,127,MB5,5,1.46,0.414,0.18100000000000002,0.405,Clay,1,-19.0,-11.0,40.0,136,5,37.12,50.4965,43.80825,0.0,5.205777777777778
